username,community,pagerank,betweenness,in_degree,out_degree,narrative_similarity,tweet_frequency,reply_ratio,is_buzzer
Bagio401,26,0.0007796825227094,0.0,0,1,0.1829122367295854,1,1.0,0
masibnoe79,139,0.0007796825227094,0.0,0,1,0.5984909790407646,1,1.0,0
BruhGusGus,140,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
Theroadinpursue,119,0.0007796825227094,0.0,0,1,0.349876359680709,1,1.0,0
Reza_onteill,141,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
gbhjjnvg,142,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
FebrianiRetri,118,0.0007796825227094,0.0,0,1,0.4153613054614573,1,1.0,0
adjiesidjaa,143,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
renegandegrunt,144,0.0007796825227094,0.0,0,1,0.6548533690435909,1,1.0,0
wrahardian2,127,0.0014426852940011,1.645765445508706e-06,1,1,0.3513120659852237,1,1.0,0
jacksparow64681,26,0.0007796825227094,0.0,0,2,0.3102727770130352,2,1.0,0
SpektaData,145,0.0007796825227094,0.0,0,1,0.7071067811865475,1,1.0,0
KompasTV,145,0.0014426852940011,0.0,1,0,0.7071067811865478,1,0.0,0
katineung08,146,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
Akang_Tonny,147,0.0007796825227094,0.0,0,1,0.4173018141144847,1,1.0,0
NenkMonica,147,0.0021056880652928,0.0,2,0,0.4173018141144847,3,0.0,0
alanseptyawan,144,0.0007796825227094,0.0,0,1,0.6273627944321509,1,1.0,0
cintamatek,148,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
detikfinance,119,0.0011111839083552,0.0,1,0,0.2781440624390526,2,0.0,0
Greykim22,128,0.0007796825227094,0.0,0,1,0.3336644212919268,1,1.0,0
dactylifera_,149,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
iman_manul,36,0.0007796825227094,0.0,0,1,0.2291858329568545,1,1.0,0
